frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1667","Dec  8, 2024 14:51:14.186718796 IST","172.18.0.3","172.18.0.2","2100","61216","54","2100 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1668","Dec  8, 2024 14:51:14.186731532 IST","172.18.0.2","172.18.0.3","61216","6792","58","61216 → 6792 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1669","Dec  8, 2024 14:51:14.186735714 IST","172.18.0.3","172.18.0.2","6792","61216","54","6792 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1670","Dec  8, 2024 14:51:14.186748217 IST","172.18.0.2","172.18.0.3","61216","3659","58","61216 → 3659 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1671","Dec  8, 2024 14:51:14.186751784 IST","172.18.0.3","172.18.0.2","3659","61216","54","3659 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1672","Dec  8, 2024 14:51:14.186763745 IST","172.18.0.2","172.18.0.3","61216","65389","58","61216 → 65389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1673","Dec  8, 2024 14:51:14.186767479 IST","172.18.0.3","172.18.0.2","65389","61216","54","65389 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1674","Dec  8, 2024 14:51:14.186780528 IST","172.18.0.2","172.18.0.3","61216","2717","58","61216 → 2717 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1675","Dec  8, 2024 14:51:14.186784537 IST","172.18.0.3","172.18.0.2","2717","61216","54","2717 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1676","Dec  8, 2024 14:51:14.186797342 IST","172.18.0.2","172.18.0.3","61216","593","58","61216 → 593 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1677","Dec  8, 2024 14:51:14.186802004 IST","172.18.0.3","172.18.0.2","593","61216","54","593 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1678","Dec  8, 2024 14:51:14.186814280 IST","172.18.0.2","172.18.0.3","61216","15003","58","61216 → 15003 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1679","Dec  8, 2024 14:51:14.186818810 IST","172.18.0.3","172.18.0.2","15003","61216","54","15003 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1680","Dec  8, 2024 14:51:14.186831173 IST","172.18.0.2","172.18.0.3","61216","8087","58","61216 → 8087 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
