frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1357","Dec  8, 2024 14:50:18.907495874 IST","172.18.0.3","172.18.0.2","548","52975","54","548 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1358","Dec  8, 2024 14:50:18.907507081 IST","172.18.0.2","172.18.0.3","52975","19101","58","52975 → 19101 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1359","Dec  8, 2024 14:50:18.907510495 IST","172.18.0.3","172.18.0.2","19101","52975","54","19101 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1360","Dec  8, 2024 14:50:18.907521335 IST","172.18.0.2","172.18.0.3","52975","5221","58","52975 → 5221 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1361","Dec  8, 2024 14:50:18.907524777 IST","172.18.0.3","172.18.0.2","5221","52975","54","5221 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1362","Dec  8, 2024 14:50:18.907535580 IST","172.18.0.2","172.18.0.3","52975","4000","58","52975 → 4000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1363","Dec  8, 2024 14:50:18.907538818 IST","172.18.0.3","172.18.0.2","4000","52975","54","4000 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1364","Dec  8, 2024 14:50:18.907549596 IST","172.18.0.2","172.18.0.3","52975","1024","58","52975 → 1024 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1365","Dec  8, 2024 14:50:18.907552922 IST","172.18.0.3","172.18.0.2","1024","52975","54","1024 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1366","Dec  8, 2024 14:50:18.907563736 IST","172.18.0.2","172.18.0.3","52975","2998","58","52975 → 2998 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1367","Dec  8, 2024 14:50:18.907567218 IST","172.18.0.3","172.18.0.2","2998","52975","54","2998 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1368","Dec  8, 2024 14:50:18.907578536 IST","172.18.0.2","172.18.0.3","52975","6000","58","52975 → 6000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1369","Dec  8, 2024 14:50:18.907581808 IST","172.18.0.3","172.18.0.2","6000","52975","54","6000 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1370","Dec  8, 2024 14:50:18.907593212 IST","172.18.0.2","172.18.0.3","52975","6025","58","52975 → 6025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1371","Dec  8, 2024 14:50:18.907596654 IST","172.18.0.3","172.18.0.2","6025","52975","54","6025 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1372","Dec  8, 2024 14:50:18.907608156 IST","172.18.0.2","172.18.0.3","52975","3128","58","52975 → 3128 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1373","Dec  8, 2024 14:50:18.907611857 IST","172.18.0.3","172.18.0.2","3128","52975","54","3128 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1374","Dec  8, 2024 14:50:18.907623845 IST","172.18.0.2","172.18.0.3","52975","901","58","52975 → 901 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1375","Dec  8, 2024 14:50:18.907627439 IST","172.18.0.3","172.18.0.2","901","52975","54","901 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1376","Dec  8, 2024 14:50:18.907639179 IST","172.18.0.2","172.18.0.3","52975","3268","58","52975 → 3268 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1377","Dec  8, 2024 14:50:18.907642685 IST","172.18.0.3","172.18.0.2","3268","52975","54","3268 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1378","Dec  8, 2024 14:50:18.907654208 IST","172.18.0.2","172.18.0.3","52975","2068","58","52975 → 2068 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1379","Dec  8, 2024 14:50:18.907657716 IST","172.18.0.3","172.18.0.2","2068","52975","54","2068 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1380","Dec  8, 2024 14:50:18.907669276 IST","172.18.0.2","172.18.0.3","52975","9500","58","52975 → 9500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1381","Dec  8, 2024 14:50:18.907672728 IST","172.18.0.3","172.18.0.2","9500","52975","54","9500 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1382","Dec  8, 2024 14:50:18.907684266 IST","172.18.0.2","172.18.0.3","52975","3325","58","52975 → 3325 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1383","Dec  8, 2024 14:50:18.907687652 IST","172.18.0.3","172.18.0.2","3325","52975","54","3325 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1384","Dec  8, 2024 14:50:18.907699063 IST","172.18.0.2","172.18.0.3","52975","1233","58","52975 → 1233 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1385","Dec  8, 2024 14:50:18.907702970 IST","172.18.0.3","172.18.0.2","1233","52975","54","1233 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1386","Dec  8, 2024 14:50:18.907714617 IST","172.18.0.2","172.18.0.3","52975","81","58","52975 → 81 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1387","Dec  8, 2024 14:50:18.907718143 IST","172.18.0.3","172.18.0.2","81","52975","54","81 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1388","Dec  8, 2024 14:50:18.907729257 IST","172.18.0.2","172.18.0.3","52975","3784","58","52975 → 3784 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1389","Dec  8, 2024 14:50:18.907732886 IST","172.18.0.3","172.18.0.2","3784","52975","54","3784 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1390","Dec  8, 2024 14:50:18.907744645 IST","172.18.0.2","172.18.0.3","52975","7911","58","52975 → 7911 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1391","Dec  8, 2024 14:50:18.907747968 IST","172.18.0.3","172.18.0.2","7911","52975","54","7911 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1392","Dec  8, 2024 14:50:18.907758764 IST","172.18.0.2","172.18.0.3","52975","6547","58","52975 → 6547 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1393","Dec  8, 2024 14:50:18.907762180 IST","172.18.0.3","172.18.0.2","6547","52975","54","6547 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1394","Dec  8, 2024 14:50:18.907874884 IST","172.18.0.2","172.18.0.3","52975","7000","58","52975 → 7000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
