frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1934","Dec 10, 2024 20:16:59.550811949 IST","172.18.0.2","172.18.0.3","52006","9876","58","52006 → 9876 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1935","Dec 10, 2024 20:16:59.550815622 IST","172.18.0.3","172.18.0.2","9876","52006","54","9876 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1936","Dec 10, 2024 20:16:59.550827077 IST","172.18.0.2","172.18.0.3","52006","50389","58","52006 → 50389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1937","Dec 10, 2024 20:16:59.550830542 IST","172.18.0.3","172.18.0.2","50389","52006","54","50389 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1938","Dec 10, 2024 20:16:59.550842152 IST","172.18.0.2","172.18.0.3","52006","211","58","52006 → 211 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1939","Dec 10, 2024 20:16:59.550845624 IST","172.18.0.3","172.18.0.2","211","52006","54","211 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1940","Dec 10, 2024 20:16:59.550857167 IST","172.18.0.2","172.18.0.3","52006","24800","58","52006 → 24800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1941","Dec 10, 2024 20:16:59.550860764 IST","172.18.0.3","172.18.0.2","24800","52006","54","24800 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1942","Dec 10, 2024 20:16:59.550872849 IST","172.18.0.2","172.18.0.3","52006","1112","58","52006 → 1112 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1943","Dec 10, 2024 20:16:59.550876401 IST","172.18.0.3","172.18.0.2","1112","52006","54","1112 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1944","Dec 10, 2024 20:16:59.551014702 IST","172.18.0.2","172.18.0.3","52006","1666","58","52006 → 1666 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1945","Dec 10, 2024 20:16:59.551021730 IST","172.18.0.3","172.18.0.2","1666","52006","54","1666 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1946","Dec 10, 2024 20:16:59.551034822 IST","172.18.0.2","172.18.0.3","52006","1201","58","52006 → 1201 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1947","Dec 10, 2024 20:16:59.551038335 IST","172.18.0.3","172.18.0.2","1201","52006","54","1201 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1948","Dec 10, 2024 20:16:59.551050024 IST","172.18.0.2","172.18.0.3","52006","2190","58","52006 → 2190 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1949","Dec 10, 2024 20:16:59.551053677 IST","172.18.0.3","172.18.0.2","2190","52006","54","2190 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1950","Dec 10, 2024 20:16:59.551065021 IST","172.18.0.2","172.18.0.3","52006","648","58","52006 → 648 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1951","Dec 10, 2024 20:16:59.551068518 IST","172.18.0.3","172.18.0.2","648","52006","54","648 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1952","Dec 10, 2024 20:16:59.551080244 IST","172.18.0.2","172.18.0.3","52006","1137","58","52006 → 1137 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1953","Dec 10, 2024 20:16:59.551083670 IST","172.18.0.3","172.18.0.2","1137","52006","54","1137 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1954","Dec 10, 2024 20:16:59.551095655 IST","172.18.0.2","172.18.0.3","52006","5357","58","52006 → 5357 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1955","Dec 10, 2024 20:16:59.551099375 IST","172.18.0.3","172.18.0.2","5357","52006","54","5357 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1956","Dec 10, 2024 20:16:59.551111249 IST","172.18.0.2","172.18.0.3","52006","8090","58","52006 → 8090 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1957","Dec 10, 2024 20:16:59.551114996 IST","172.18.0.3","172.18.0.2","8090","52006","54","8090 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1958","Dec 10, 2024 20:16:59.551127085 IST","172.18.0.2","172.18.0.3","52006","3986","58","52006 → 3986 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1959","Dec 10, 2024 20:16:59.551130825 IST","172.18.0.3","172.18.0.2","3986","52006","54","3986 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1960","Dec 10, 2024 20:16:59.551142443 IST","172.18.0.2","172.18.0.3","52006","2042","58","52006 → 2042 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1961","Dec 10, 2024 20:16:59.551146232 IST","172.18.0.3","172.18.0.2","2042","52006","54","2042 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1962","Dec 10, 2024 20:16:59.551158104 IST","172.18.0.2","172.18.0.3","52006","3889","58","52006 → 3889 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1963","Dec 10, 2024 20:16:59.551161591 IST","172.18.0.3","172.18.0.2","3889","52006","54","3889 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1964","Dec 10, 2024 20:16:59.551173490 IST","172.18.0.2","172.18.0.3","52006","3011","58","52006 → 3011 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1965","Dec 10, 2024 20:16:59.551177117 IST","172.18.0.3","172.18.0.2","3011","52006","54","3011 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1966","Dec 10, 2024 20:16:59.551188498 IST","172.18.0.2","172.18.0.3","52006","1580","58","52006 → 1580 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1967","Dec 10, 2024 20:16:59.551192194 IST","172.18.0.3","172.18.0.2","1580","52006","54","1580 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1968","Dec 10, 2024 20:16:59.551204472 IST","172.18.0.2","172.18.0.3","52006","6667","58","52006 → 6667 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1969","Dec 10, 2024 20:16:59.551208179 IST","172.18.0.3","172.18.0.2","6667","52006","54","6667 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1970","Dec 10, 2024 20:16:59.551220099 IST","172.18.0.2","172.18.0.3","52006","898","58","52006 → 898 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1971","Dec 10, 2024 20:16:59.551223944 IST","172.18.0.3","172.18.0.2","898","52006","54","898 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1972","Dec 10, 2024 20:16:59.551235991 IST","172.18.0.2","172.18.0.3","52006","9050","58","52006 → 9050 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1973","Dec 10, 2024 20:16:59.551239634 IST","172.18.0.3","172.18.0.2","9050","52006","54","9050 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1974","Dec 10, 2024 20:16:59.551251892 IST","172.18.0.2","172.18.0.3","52006","79","58","52006 → 79 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1975","Dec 10, 2024 20:16:59.551255519 IST","172.18.0.3","172.18.0.2","79","52006","54","79 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1976","Dec 10, 2024 20:16:59.551266912 IST","172.18.0.2","172.18.0.3","52006","2710","58","52006 → 2710 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1977","Dec 10, 2024 20:16:59.551270436 IST","172.18.0.3","172.18.0.2","2710","52006","54","2710 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1978","Dec 10, 2024 20:16:59.551282053 IST","172.18.0.2","172.18.0.3","52006","8045","58","52006 → 8045 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1979","Dec 10, 2024 20:16:59.551285585 IST","172.18.0.3","172.18.0.2","8045","52006","54","8045 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1980","Dec 10, 2024 20:16:59.551297273 IST","172.18.0.2","172.18.0.3","52006","1198","58","52006 → 1198 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1981","Dec 10, 2024 20:16:59.551300809 IST","172.18.0.3","172.18.0.2","1198","52006","54","1198 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1982","Dec 10, 2024 20:16:59.551312589 IST","172.18.0.2","172.18.0.3","52006","1805","58","52006 → 1805 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1983","Dec 10, 2024 20:16:59.551316414 IST","172.18.0.3","172.18.0.2","1805","52006","54","1805 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1984","Dec 10, 2024 20:16:59.551327597 IST","172.18.0.2","172.18.0.3","52006","5998","58","52006 → 5998 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1985","Dec 10, 2024 20:16:59.551331111 IST","172.18.0.3","172.18.0.2","5998","52006","54","5998 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1986","Dec 10, 2024 20:16:59.551342783 IST","172.18.0.2","172.18.0.3","52006","1041","58","52006 → 1041 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1987","Dec 10, 2024 20:16:59.551346132 IST","172.18.0.3","172.18.0.2","1041","52006","54","1041 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
