frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"2800","Dec  8, 2024 15:16:25.484350641 IST","172.18.0.2","172.18.0.3",,,"82","57823 → 49167 Len=40"
"2801","Dec  8, 2024 15:16:25.484380880 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2802","Dec  8, 2024 15:16:26.285290934 IST","172.18.0.2","172.18.0.3",,,"42","57662 → 18821 Len=0"
"2803","Dec  8, 2024 15:16:26.285323056 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2804","Dec  8, 2024 15:16:27.086218697 IST","172.18.0.2","172.18.0.3",,,"82","Unknown (0x72fe)"
"2805","Dec  8, 2024 15:16:27.086241819 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2806","Dec  8, 2024 15:16:27.887178773 IST","172.18.0.2","172.18.0.3",,,"82","Unknown (0x3eec)"
"2807","Dec  8, 2024 15:16:27.887208663 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2808","Dec  8, 2024 15:16:28.688110444 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 30656 Len=0"
"2809","Dec  8, 2024 15:16:29.489078102 IST","172.18.0.2","172.18.0.3",,,"42","57662 → 30656 Len=0"
"2810","Dec  8, 2024 15:16:29.489106022 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2811","Dec  8, 2024 15:16:30.289977377 IST","172.18.0.2","172.18.0.3",,,"82","Unknown (0x3eec)"
"2812","Dec  8, 2024 15:16:30.290004497 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2813","Dec  8, 2024 15:16:31.090924816 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 1804 Len=0"
"2814","Dec  8, 2024 15:16:31.090975109 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2815","Dec  8, 2024 15:16:31.891839988 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 21524 Len=0"
"2816","Dec  8, 2024 15:16:31.891865840 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
