frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1931","Dec 16, 2024 14:32:36.953426972 IST","172.18.0.3","172.18.0.2","1309","46819","54","1309 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1932","Dec 16, 2024 14:32:36.953430902 IST","172.18.0.2","172.18.0.3","46819","5925","54","46819 → 5925 [<None>] Seq=1 Win=1024 Len=0"
"1933","Dec 16, 2024 14:32:36.953432307 IST","172.18.0.3","172.18.0.2","5925","46819","54","5925 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1934","Dec 16, 2024 14:32:36.953436297 IST","172.18.0.2","172.18.0.3","46819","3168","54","46819 → 3168 [<None>] Seq=1 Win=1024 Len=0"
"1935","Dec 16, 2024 14:32:36.953437710 IST","172.18.0.3","172.18.0.2","3168","46819","54","3168 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1936","Dec 16, 2024 14:32:36.953441779 IST","172.18.0.2","172.18.0.3","46819","9110","54","46819 → 9110 [<None>] Seq=1 Win=1024 Len=0"
"1937","Dec 16, 2024 14:32:36.953443374 IST","172.18.0.3","172.18.0.2","9110","46819","54","9110 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1938","Dec 16, 2024 14:32:36.953447325 IST","172.18.0.2","172.18.0.3","46819","8087","54","46819 → 8087 [<None>] Seq=1 Win=1024 Len=0"
"1939","Dec 16, 2024 14:32:36.953448777 IST","172.18.0.3","172.18.0.2","8087","46819","54","8087 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1940","Dec 16, 2024 14:32:36.955598340 IST","172.18.0.2","172.18.0.3","46819","16016","54","46819 → 16016 [<None>] Seq=1 Win=1024 Len=0"
"1941","Dec 16, 2024 14:32:36.955603113 IST","172.18.0.3","172.18.0.2","16016","46819","54","16016 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1942","Dec 16, 2024 14:32:36.955609059 IST","172.18.0.2","172.18.0.3","46819","16001","54","46819 → 16001 [<None>] Seq=1 Win=1024 Len=0"
"1943","Dec 16, 2024 14:32:36.955610671 IST","172.18.0.3","172.18.0.2","16001","46819","54","16001 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1944","Dec 16, 2024 14:32:36.955614954 IST","172.18.0.2","172.18.0.3","46819","10621","54","46819 → 10621 [<None>] Seq=1 Win=1024 Len=0"
"1945","Dec 16, 2024 14:32:36.955616538 IST","172.18.0.3","172.18.0.2","10621","46819","54","10621 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1946","Dec 16, 2024 14:32:36.955636248 IST","172.18.0.2","172.18.0.3","46819","2040","54","46819 → 2040 [<None>] Seq=1 Win=1024 Len=0"
"1947","Dec 16, 2024 14:32:36.955637983 IST","172.18.0.3","172.18.0.2","2040","46819","54","2040 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1948","Dec 16, 2024 14:32:36.955642217 IST","172.18.0.2","172.18.0.3","46819","3260","54","46819 → 3260 [<None>] Seq=1 Win=1024 Len=0"
"1949","Dec 16, 2024 14:32:36.955643785 IST","172.18.0.3","172.18.0.2","3260","46819","54","3260 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1950","Dec 16, 2024 14:32:36.955648762 IST","172.18.0.2","172.18.0.3","46819","7627","54","46819 → 7627 [<None>] Seq=1 Win=1024 Len=0"
"1951","Dec 16, 2024 14:32:36.955650260 IST","172.18.0.3","172.18.0.2","7627","46819","54","7627 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1952","Dec 16, 2024 14:32:36.955654635 IST","172.18.0.2","172.18.0.3","46819","1036","54","46819 → 1036 [<None>] Seq=1 Win=1024 Len=0"
"1953","Dec 16, 2024 14:32:36.955656200 IST","172.18.0.3","172.18.0.2","1036","46819","54","1036 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1954","Dec 16, 2024 14:32:36.955660977 IST","172.18.0.2","172.18.0.3","46819","497","54","46819 → 497 [<None>] Seq=1 Win=1024 Len=0"
"1955","Dec 16, 2024 14:32:36.955662325 IST","172.18.0.3","172.18.0.2","497","46819","54","497 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1956","Dec 16, 2024 14:32:36.955666327 IST","172.18.0.2","172.18.0.3","46819","8022","54","46819 → 8022 [<None>] Seq=1 Win=1024 Len=0"
"1957","Dec 16, 2024 14:32:36.955667820 IST","172.18.0.3","172.18.0.2","8022","46819","54","8022 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1958","Dec 16, 2024 14:32:36.955672322 IST","172.18.0.2","172.18.0.3","46819","5963","54","46819 → 5963 [<None>] Seq=1 Win=1024 Len=0"
"1959","Dec 16, 2024 14:32:36.955673980 IST","172.18.0.3","172.18.0.2","5963","46819","54","5963 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
