frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1393","Dec  8, 2024 14:59:06.029140948 IST","172.18.0.3","172.18.0.2","3260","34067","54","3260 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1394","Dec  8, 2024 14:59:06.029152588 IST","172.18.0.2","172.18.0.3","34067","2605","58","34067 → 2605 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1395","Dec  8, 2024 14:59:06.029156120 IST","172.18.0.3","172.18.0.2","2605","34067","54","2605 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1396","Dec  8, 2024 14:59:06.029194680 IST","172.18.0.2","172.18.0.3","34067","10243","58","34067 → 10243 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1397","Dec  8, 2024 14:59:06.029200231 IST","172.18.0.3","172.18.0.2","10243","34067","54","10243 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1398","Dec  8, 2024 14:59:06.029213911 IST","172.18.0.2","172.18.0.3","34067","617","58","34067 → 617 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1399","Dec  8, 2024 14:59:06.029217851 IST","172.18.0.3","172.18.0.2","617","34067","54","617 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1400","Dec  8, 2024 14:59:06.029230452 IST","172.18.0.2","172.18.0.3","34067","1026","58","34067 → 1026 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1401","Dec  8, 2024 14:59:06.029234160 IST","172.18.0.3","172.18.0.2","1026","34067","54","1026 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1402","Dec  8, 2024 14:59:06.029245636 IST","172.18.0.2","172.18.0.3","34067","49175","58","34067 → 49175 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1403","Dec  8, 2024 14:59:06.029249713 IST","172.18.0.3","172.18.0.2","49175","34067","54","49175 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1404","Dec  8, 2024 14:59:06.029261177 IST","172.18.0.2","172.18.0.3","34067","1007","58","34067 → 1007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1405","Dec  8, 2024 14:59:06.029264591 IST","172.18.0.3","172.18.0.2","1007","34067","54","1007 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1406","Dec  8, 2024 14:59:06.029276934 IST","172.18.0.2","172.18.0.3","34067","8008","58","34067 → 8008 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1407","Dec  8, 2024 14:59:06.029280534 IST","172.18.0.3","172.18.0.2","8008","34067","54","8008 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1408","Dec  8, 2024 14:59:06.029292001 IST","172.18.0.2","172.18.0.3","34067","7019","58","34067 → 7019 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1409","Dec  8, 2024 14:59:06.029295640 IST","172.18.0.3","172.18.0.2","7019","34067","54","7019 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1410","Dec  8, 2024 14:59:06.029307411 IST","172.18.0.2","172.18.0.3","34067","9001","58","34067 → 9001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1411","Dec  8, 2024 14:59:06.029310998 IST","172.18.0.3","172.18.0.2","9001","34067","54","9001 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1412","Dec  8, 2024 14:59:06.029322352 IST","172.18.0.2","172.18.0.3","34067","1594","58","34067 → 1594 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1413","Dec  8, 2024 14:59:06.029325995 IST","172.18.0.3","172.18.0.2","1594","34067","54","1594 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1414","Dec  8, 2024 14:59:06.029338295 IST","172.18.0.2","172.18.0.3","34067","1166","58","34067 → 1166 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1415","Dec  8, 2024 14:59:06.029341842 IST","172.18.0.3","172.18.0.2","1166","34067","54","1166 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
