frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1911","Dec 16, 2024 14:24:03.003282673 IST","172.18.0.3","172.18.0.2","9877","39799","54","9877 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1912","Dec 16, 2024 14:24:03.003293753 IST","172.18.0.2","172.18.0.3","39799","32782","58","39799 → 32782 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1913","Dec 16, 2024 14:24:03.003297295 IST","172.18.0.3","172.18.0.2","32782","39799","54","32782 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1914","Dec 16, 2024 14:24:03.003310694 IST","172.18.0.2","172.18.0.3","39799","7100","58","39799 → 7100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1915","Dec 16, 2024 14:24:03.003313970 IST","172.18.0.3","172.18.0.2","7100","39799","54","7100 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1916","Dec 16, 2024 14:24:03.003325368 IST","172.18.0.2","172.18.0.3","39799","5962","58","39799 → 5962 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1917","Dec 16, 2024 14:24:03.003328778 IST","172.18.0.3","172.18.0.2","5962","39799","54","5962 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1918","Dec 16, 2024 14:24:03.003339714 IST","172.18.0.2","172.18.0.3","39799","4002","58","39799 → 4002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1919","Dec 16, 2024 14:24:03.003343248 IST","172.18.0.3","172.18.0.2","4002","39799","54","4002 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1920","Dec 16, 2024 14:24:03.003354127 IST","172.18.0.2","172.18.0.3","39799","514","58","39799 → 514 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1921","Dec 16, 2024 14:24:03.003357333 IST","172.18.0.3","172.18.0.2","514","39799","54","514 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
